start_date,chlor_a
08/01/2002,2.307416
09/01/2002,1.9493948
10/01/2002,1.819244
11/01/2002,0.81913006
12/01/2002,4.7706113
01/01/2003,0.6553684
02/01/2003,0.5733704
03/01/2003,0.44181994
04/01/2003,0.35478517
05/01/2003,0.34164247
06/01/2003,0.5906709
07/01/2003,1.3711578
08/01/2003,0.7055855
09/01/2003,1.01909925
10/01/2003,1.6636963
11/01/2003,0.70953083
12/01/2003,0.5031861
01/01/2004,0.5765566
02/01/2004,1.2833885
03/01/2004,0.52581304
04/01/2004,0.4753626
05/01/2004,0.4196547
06/01/2004,0.8973593
07/01/2004,1.3737131
08/01/2004,0.96499336
09/01/2004,0.66569906
10/01/2004,1.3588172
11/01/2004,1.1333836
12/01/2004,0.58137405
01/01/2005,1.0083728
02/01/2005,0.39552352
03/01/2005,0.5122872
04/01/2005,0.40434358
05/01/2005,0.47990218
06/01/2005,0.50319827
07/01/2005,1.0632186
08/01/2005,0.9008548
09/01/2005,2.0440762
10/01/2005,1.2970641
11/01/2005,1.0550601
12/01/2005,0.886295
01/01/2006,0.7386356
02/01/2006,0.52041644
03/01/2006,0.43477303
04/01/2006,0.50373113
05/01/2006,0.3989284
06/01/2006,0.50516
07/01/2006,1.3177975
08/01/2006,4.338074
09/01/2006,9.427902
10/01/2006,0.8032204
11/01/2006,0.8117913
12/01/2006,0.80548733
01/01/2007,0.723055
02/01/2007,0.50522715
03/01/2007,0.67543375
04/01/2007,0.4968135
05/01/2007,0.43832868
06/01/2007,0.53047824
07/01/2007,1.0364751
08/01/2007,0.9412121
09/01/2007,1.4221783
10/01/2007,1.1398529
11/01/2007,0.701803
12/01/2007,0.6846863
01/01/2008,0.5154822
02/01/2008,0.6533921
03/01/2008,0.46136
04/01/2008,0.39420217
05/01/2008,0.37069467
06/01/2008,0.55990654
07/01/2008,1.5605048
08/01/2008,1.0255067
09/01/2008,0.6129602
10/01/2008,1.3419724
11/01/2008,0.52413625
12/01/2008,0.9886221
01/01/2009,0.78376937
02/01/2009,0.43556997
03/01/2009,0.53036165
04/01/2009,0.35463825
05/01/2009,0.34953097
06/01/2009,0.41670492
07/01/2009,0.5803155
08/01/2009,1.0047027
09/01/2009,0.6057616
10/01/2009,1.2176144
11/01/2009,0.5271268
12/01/2009,0.6455708
01/01/2010,0.5035432
02/01/2010,0.54554546
03/01/2010,0.47745168
04/01/2010,0.39359298
05/01/2010,0.3671874
06/01/2010,0.4448008
07/01/2010,0.7716371
08/01/2010,0.6421353
09/01/2010,0.8640181
10/01/2010,0.7323239
11/01/2010,1.2440997
12/01/2010,0.61143726
01/01/2011,0.48636675
02/01/2011,0.7472668
03/01/2011,0.49537584
04/01/2011,0.31228906
05/01/2011,0.32479414
06/01/2011,0.38304392
07/01/2011,0.6653267
08/01/2011,1.0587077
09/01/2011,0.6051752
