date,chl_a
8/1/2002,5.6644948
9/1/2002,5.4837649
10/1/2002,10.0935145
11/1/2002,3.02362275
12/1/2002,2.22708425
1/1/2003,1.0769659
2/1/2003,1.4646254
3/1/2003,1.56986545
4/1/2003,1.0792276
5/1/2003,1.17948055
6/1/2003,1.14076775
7/1/2003,1.07057485
8/1/2003,1.22972335
9/1/2003,1.5787075
10/1/2003,1.9890049
11/1/2003,1.7022584
12/1/2003,1.05261075
1/1/2004,2.7395389
2/1/2004,2.4466125
3/1/2004,1.8981586
4/1/2004,1.09697725
5/1/2004,1.03937505
6/1/2004,1.2123386
7/1/2004,1.37983475
8/1/2004,2.33307255
9/1/2004,2.3756646
10/1/2004,2.73741475
11/1/2004,2.1523579
12/1/2004,1.90330565
1/1/2005,1.6457104
2/1/2005,1.570679
3/1/2005,1.3337438
4/1/2005,1.4615335
5/1/2005,2.91407595
6/1/2005,3.0413914
7/1/2005,2.62929565
8/1/2005,1.5378604
9/1/2005,4.2009233
10/1/2005,6.73344325
11/1/2005,4.90980185
12/1/2005,3.7221223
1/1/2006,1.43455475
2/1/2006,1.3621448
3/1/2006,1.5923231
4/1/2006,1.8814349
5/1/2006,1.4424662
6/1/2006,0.98995457
7/1/2006,1.50507355
8/1/2006,2.9184402
9/1/2006,2.97746005
10/1/2006,2.9618019
11/1/2006,4.19167425
12/1/2006,2.0748221
1/1/2007,1.44616
2/1/2007,1.64907525
3/1/2007,1.16392065
4/1/2007,1.30352465
5/1/2007,1.41465105
6/1/2007,1.43211595
7/1/2007,1.27392515
8/1/2007,2.3388858
9/1/2007,2.31660855
10/1/2007,3.14230535
11/1/2007,2.67672885
12/1/2007,1.1924777
1/1/2008,1.0696076
2/1/2008,1.5895748
3/1/2008,1.07256685
4/1/2008,1.1176731
5/1/2008,1.12302095
6/1/2008,2.7079414
7/1/2008,3.59424865
8/1/2008,1.96215975
9/1/2008,3.8835939
10/1/2008,2.72515795
11/1/2008,2.3400368
12/1/2008,2.2293211
1/1/2009,1.467743
2/1/2009,0.95087465
3/1/2009,1.3119717
4/1/2009,1.09889935
5/1/2009,2.24344995
6/1/2009,1.44409465
7/1/2009,1.8636311
8/1/2009,3.4609546
9/1/2009,5.6592373
10/1/2009,5.2436785
11/1/2009,7.63068
12/1/2009,1.944786
1/1/2010,7.2795794
2/1/2010,2.031186
3/1/2010,1.9462351
4/1/2010,2.55465385
5/1/2010,2.2750989
6/1/2010,1.69166315
7/1/2010,1.3664674
8/1/2010,3.2777798
